address,address_type,label,label_source,data_completeness,tx_count,funded_txo_count,spent_txo_count,n_tx_as_sender_sampled,n_tx_as_receiver_sampled,n_unique_counterparties,total_received_sat,total_received_btc,mean_received_sat,max_received_sat,min_received_sat,std_received_sat,total_sent_sat,total_sent_btc,mean_sent_sat,max_sent_sat,min_sent_sat,std_sent_sat,balance_sat,balance_btc,net_flow_sat,total_fee_sat_sampled,mean_fee_sat,mean_fee_rate_sat_vb,first_tx_time,last_tx_time,lifespan_days,active_days,activity_density,mean_inter_tx_hours,std_inter_tx_hours,max_dormancy_days,tx_velocity,in_degree,out_degree,degree_total,fan_in_ratio,fan_out_ratio,sender_concentration_hhi,recipient_concentration_hhi,cio_cluster_size,peel_chain_len,consolidation_frac,coinjoin_tx_count_sampled,round_value_ratio_sampled,mean_output_count_sampled,mean_input_count_sampled,mempool_tx_count,class,source_api
3Qxi57Z9MZFi73VGt84jnfq7pxEADXLbor,UNKNOWN,ILLICIT,ELLIPTIC_PP,SAMPLED,56,28,28,28,22,2013,1309475361,13.09475361,55849107.318,153711353,2385000,45908324.528,1309475361,13.09475361,46766977.179,153711353,2385000,44299997.333,0,0.0,0,89912506,3211160.929,204.188,2017-05-16T05:06:51+00:00,2018-02-25T09:00:48+00:00,285.162,31,0.1964,139.671,205.38,44.23,1.8065,1782,243,2025,0.88,0.12,0.021,0.1552,0,0,0.88,0,0.66,5.52,48.64,0,blacklisted,mempool.space
3QqF1iHxztxRLWtsaoWSnWcPcUAZSJDJfM,UNKNOWN,ILLICIT,ELLIPTIC_PP,SAMPLED,10256,9364,9274,5,20,66,4003576367,40.03576367,282197.8,725867,140648,177463.545,3983454177,39.83454177,2004547.6,5472435,229921,2062905.575,20122190,0.2012219,20122190,3078000,615600.0,202.22,2017-07-16T21:49:40+00:00,2017-07-18T21:24:31+00:00,1.983,3,5171.9617,1.983,6.295,1.298,3418.6667,45,22,67,0.6716,0.3284,0.0323,0.0978,0,0,0.6716,0,0.0,1.8,3.72,0,blacklisted,blockstream
3QpsKHJUpnYCCYX5Nbo1hh4Hva9v3Kzyhg,UNKNOWN,ILLICIT,ELLIPTIC_PP,SAMPLED,253,16,40,34,16,5981,278656690,2.7865669,2484339.125,7234000,328670,1774041.632,278656690,2.7865669,1674547.647,7234000,115362,1473289.516,0,0.0,0,5560825,163553.676,2.824,2018-01-23T18:02:25+00:00,2018-05-09T11:49:47+00:00,105.741,30,2.3926,51.792,62.807,10.34,8.4333,5729,274,6003,0.9544,0.0456,0.0738,0.0514,0,0,0.9544,0,0.22,6.68,136.44,0,blacklisted,trezor-btc3
3QpoGkFQeBMYr457pVMevFEBPNYCjqF7Vd,UNKNOWN,ILLICIT,ELLIPTIC_PP,SAMPLED,738,23,32,27,23,3846,1007190643,10.07190643,433523.304,2104536,12900,536892.492,1007190643,10.07190643,401715.593,2104536,12900,527475.488,0,0.0,0,21382616,791948.741,13.39,2017-05-07T03:05:06+00:00,2017-06-28T06:43:44+00:00,52.152,23,14.1509,25.544,41.468,7.153,32.087,3609,250,3859,0.9352,0.0648,0.0317,0.0575,0,0,0.9352,0,0.32,5.54,110.3,0,blacklisted,trezor-btc4
3QnJHFGpmmjk3i1Kb2SDwLExBMqStfaShb,UNKNOWN,ILLICIT,ELLIPTIC_PP,SAMPLED,687,559,554,6,44,121,4461618150,44.6161815,4861794.114,13158998,1079601,3001548.249,4439958307,44.39958307,52641953.333,113830288,1575186,48580531.287,21659843,0.21659843,21659843,3080800,513466.667,176.541,2017-02-27T13:20:26+00:00,2017-04-06T08:20:16+00:00,37.792,23,18.1785,18.51,28.335,6.333,29.8696,76,48,124,0.6129,0.3871,0.4585,0.444,0,0,0.6129,0,0.0,1.88,2.94,0,blacklisted,emzy
3QajyAsES5gUe2GKCQWeaFWsvoT3pSkpGe,UNKNOWN,ILLICIT,ELLIPTIC_PP,FULL,2,1,1,1,1,76,6351614,0.06351614,6351614.0,6351614,6351614,0.0,6351614,0.06351614,6351614.0,6351614,6351614,0.0,0,0.0,0,1025902,1025902.0,51.638,2016-10-23T11:20:01+00:00,2016-10-23T20:24:38+00:00,0.378,1,2.0,9.077,0.0,0.378,2.0,74,2,76,0.9737,0.0263,0.0283,0.9974,0,0,0.9737,0,0.5,1.5,37.5,0,blacklisted,bitaroo
3QHUv3xyXEYpXMgjDZbES8NvZpAxq3aTg2,UNKNOWN,ILLICIT,ELLIPTIC_PP,SAMPLED,83,14,39,36,14,1762,43799922,0.43799922,1619769.0,18416666,45800,4669786.04,43799922,0.43799922,750792.556,18416666,35000,3009074.604,0,0.0,0,665635,18489.861,4.111,2017-01-29T16:38:12+00:00,2018-06-28T00:22:55+00:00,514.323,29,0.1614,251.913,872.118,201.13,2.8621,1727,47,1774,0.9735,0.0265,0.5696,0.5682,0,0,0.9735,0,0.14,1.42,39.6,0,blacklisted,exan
3Q6vpPnVByYUibeDLUYMD2ExuMsErzYFxw,UNKNOWN,ILLICIT,ELLIPTIC_PP,SAMPLED,21555,21,64,29,21,83,2693702700,26.937027,288723.619,2996918,141011,606055.601,2666393275,26.66393275,458179.931,2996918,120308,756018.267,27309425,0.27309425,27309425,5061000,174517.241,189.503,2017-07-16T04:38:22+00:00,2017-07-19T05:58:13+00:00,3.055,4,7055.6465,1.497,4.021,0.905,5388.75,59,24,83,0.7108,0.2892,0.0323,0.1757,0,0,0.7108,0,0.0,1.42,2.5,0,blacklisted,trezor-btc4
3PxsD6BnNvuD22aszyvi3AFkyydDx97pXd,UNKNOWN,ILLICIT,ELLIPTIC_PP,SAMPLED,871,25,26,25,25,819,167073866,1.67073866,174929.6,658160,45000,190270.884,167073866,1.67073866,184529.6,658160,45000,188457.255,0,0.0,0,7826914,313076.56,145.761,2017-03-24T06:04:30+00:00,2018-01-26T13:16:01+00:00,308.3,30,2.8252,151.004,890.011,262.884,29.0333,247,579,826,0.299,0.701,0.2206,0.2155,0,0,0.299,0,0.6,12.36,6.4,0,blacklisted,trezor-btc5
3PqmS19zP1z43dSaz7QgTa5kXjfwJG8CeY,UNKNOWN,ILLICIT,ELLIPTIC_PP,FULL,8,4,4,4,4,17,36742204,0.36742204,9185551.0,11733714,7399174,1778845.865,36742204,0.36742204,9185551.0,11733714,7399174,1778845.865,0,0.0,0,180000,45000.0,133.183,2017-01-11T14:03:32+00:00,2017-03-11T07:18:24+00:00,58.719,8,0.1362,201.321,139.84,19.936,1.0,12,5,17,0.7059,0.2941,0.1417,0.8111,0,0,0.7059,0,0.0,1.5,2.0,0,blacklisted,blockstream
