address,address_type,label,label_source,data_completeness,tx_count,funded_txo_count,spent_txo_count,n_tx_as_sender_sampled,n_tx_as_receiver_sampled,n_unique_counterparties,total_received_sat,total_received_btc,mean_received_sat,max_received_sat,min_received_sat,std_received_sat,total_sent_sat,total_sent_btc,mean_sent_sat,max_sent_sat,min_sent_sat,std_sent_sat,balance_sat,balance_btc,net_flow_sat,total_fee_sat_sampled,mean_fee_sat,mean_fee_rate_sat_vb,first_tx_time,last_tx_time,lifespan_days,active_days,activity_density,mean_inter_tx_hours,std_inter_tx_hours,max_dormancy_days,tx_velocity,in_degree,out_degree,degree_total,fan_in_ratio,fan_out_ratio,sender_concentration_hhi,recipient_concentration_hhi,cio_cluster_size,peel_chain_len,consolidation_frac,coinjoin_tx_count_sampled,round_value_ratio_sampled,mean_output_count_sampled,mean_input_count_sampled,mempool_tx_count,class,source_api
3B6ybm9WhJnGuiku8DUGFxkzjk9Ypptxxg,UNKNOWN,UNKNOWN,BABD13_JSON,FULL,16,10,10,6,10,1004,756793000,7.56793,75679300.0,89516000,64862000,8469425.707,756793000,7.56793,126132166.667,253266000,65641000,66119110.952,0,0.0,0,4185799,697633.167,23.869,2019-09-12T12:04:56+00:00,2019-10-25T19:32:54+00:00,43.311,15,0.3694,69.298,45.996,7.971,1.0667,903,108,1011,0.8932,0.1068,0.0608,0.3944,0,0,0.8932,0,0.625,7.75,111.0,0,unlabelled,trezor-btc5
1FY1asvGRyMZpzLCatkp2NkPv52FaaR6eQ,UNKNOWN,UNKNOWN,BABD13_JSON,FULL,2,1,1,1,1,2,546,5.46e-06,546.0,546,546,0.0,546,5.46e-06,546.0,546,546,0.0,0,0.0,0,7202,7202.0,20.117,2019-10-19T09:05:44+00:00,2020-04-21T10:03:51+00:00,185.04,2,0.0108,4440.969,0.0,185.04,1.0,2,2,4,0.5,0.5,0.5937,0.5937,0,0,0.5,0,0.0,2.5,1.5,0,unlabelled,blockstream
3KxgkTQFfP8hpCDatPZYWCzQhHaEQ9mQZq,UNKNOWN,UNKNOWN,BABD13_JSON,FULL,2,1,1,1,1,7,2000000,0.02,2000000.0,2000000,2000000,0.0,2000000,0.02,2000000.0,2000000,2000000,0.0,0,0.0,0,7647,7647.0,18.835,2019-10-13T04:41:35+00:00,2019-10-19T02:26:33+00:00,5.906,2,0.3386,141.749,0.0,5.906,1.0,5,2,7,0.7143,0.2857,0.318,0.6008,0,0,0.7143,0,0.5,1.5,3.0,0,unlabelled,trezor-btc3
1aSmUYaciHm6XqSqBkSVG3HQ1asSYom8Z,UNKNOWN,UNKNOWN,BABD13_JSON,SAMPLED,120,49,50,48,49,66,1474931330,14.7493133,24204186.082,49950000,3763,18879349.497,1474931330,14.7493133,24747099.188,51235282,5100,18768597.464,0,0.0,0,420197,8754.104,32.99,2018-11-12T14:22:37+00:00,2020-01-07T03:23:02+00:00,420.542,14,0.2853,205.98,1093.32,314.326,8.5714,2,65,67,0.0299,0.9701,0.9401,0.1567,0,0,0.0299,0,0.96,2.36,1.04,0,unlabelled,trezor-btc4
1KGirqFJA3BAHiXvqAcM4CiaHAVbAXngBH,UNKNOWN,UNKNOWN,BABD13_JSON,SAMPLED,407,25,25,25,25,155,115148068,1.15148068,433172.2,1677120,52584,346866.747,115148068,1.15148068,433172.2,1677120,52584,346866.747,0,0.0,0,346597,13863.88,71.423,2020-09-13T20:04:46+00:00,2022-04-02T00:16:53+00:00,565.175,23,0.7201,276.82,1754.519,517.907,17.6957,2,155,157,0.0127,0.9873,0.5105,0.4048,0,0,0.0127,0,0.0,4.48,1.02,0,unlabelled,blockchain.info
14WkttRctoDJf49vqKyoW3fuo3X1vxZtC7,UNKNOWN,UNKNOWN,BABD13_JSON,FULL,10,5,5,5,5,94,3335921,0.03335921,667184.2,942610,250964,228154.789,3335921,0.03335921,667184.2,942610,250964,228154.789,0,0.0,0,4157,831.4,3.104,2019-10-11T10:43:35+00:00,2019-10-23T08:02:27+00:00,11.888,6,0.8412,31.702,52.685,7.169,1.6667,26,72,98,0.2653,0.7347,0.1079,0.095,0,0,0.2653,0,0.1,8.0,3.1,0,unlabelled,mempool.space
3LVXWW9y1DTJ5FjUUj8ZDCCG5FtQKJ51ct,UNKNOWN,UNKNOWN,BABD13_JSON,FULL,14,7,7,7,7,1387,22989364,0.22989364,3284194.857,4998977,2723120,725761.31,22989364,0.22989364,3284194.857,4998977,2723120,725761.31,0,0.0,0,4886426,698060.857,8.166,2019-06-24T16:40:00+00:00,2019-12-24T03:38:42+00:00,182.457,11,0.0767,336.844,395.788,56.998,1.2727,1385,3,1388,0.9978,0.0022,0.9547,0.9551,0,0,0.9978,0,0.5,1.571,100.643,0,unlabelled,emzy
1d6TdAWrr2eTWDt3uu3yCPS7YrMVpjXbx,UNKNOWN,UNKNOWN,BABD13_JSON,FULL,18,9,9,9,9,2821,19201530,0.1920153,2133503.333,15604300,18430,4782413.045,19201530,0.1920153,2133503.333,15604300,18430,4782413.045,0,0.0,0,11619607,1291067.444,24.842,2019-01-06T12:42:12+00:00,2023-05-19T15:53:29+00:00,1594.133,13,0.0113,2250.54,4273.797,689.399,1.3846,2777,45,2822,0.9841,0.0159,0.0249,0.1568,0,0,0.9841,0,0.0556,3.0,173.833,0,unlabelled,bitaroo
1FjXqSDaHqmy8kMXFUcgGkZnYG4UCcgzFc,UNKNOWN,UNKNOWN,BABD13_JSON,FULL,2,1,1,1,1,6,1232354,0.01232354,1232354.0,1232354,1232354,0.0,1232354,0.01232354,1232354.0,1232354,1232354,0.0,0,0.0,0,11390,11390.0,17.051,2019-10-19T12:38:44+00:00,2019-10-19T18:18:12+00:00,0.236,1,2.0,5.658,0.0,0.236,2.0,3,3,6,0.5,0.5,0.3616,0.7863,0,0,0.5,0,0.0,2.0,2.5,0,unlabelled,exan
1Hy1TGL73769PwgbRQPmCFS8Dw3CTM96C1,UNKNOWN,UNKNOWN,BABD13_JSON,FULL,2,1,1,1,1,4,1514488,0.01514488,1514488.0,1514488,1514488,0.0,1514488,0.01514488,1514488.0,1514488,1514488,0.0,0,0.0,0,2509,2509.0,11.151,2019-10-18T11:01:44+00:00,2019-10-19T10:33:29+00:00,0.98,2,2.0,23.529,0.0,0.98,1.0,1,3,4,0.25,0.75,1.0,0.4567,0,0,0.25,0,0.5,2.0,1.0,0,unlabelled,emzy
1EGnESYG8fJtALVKA3KBdKumEcEixf9Jc2,UNKNOWN,UNKNOWN,BABD13_JSON,FULL,2,1,1,1,1,5,149650,0.0014965,149650.0,149650,149650,0.0,149650,0.0014965,149650.0,149650,149650,0.0,0,0.0,0,1896,1896.0,2.847,2019-10-15T19:12:27+00:00,2019-10-19T12:06:59+00:00,3.705,2,0.5398,88.909,0.0,3.705,1.0,2,3,5,0.4,0.6,0.6425,0.37,0,0,0.4,0,1.0,2.0,3.0,0,unlabelled,mempool.space
